1. Which is your primary browser for development,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,4. What is your typical Internet connection speed?,5. Web innovation is outpacing native,6. I am satisfied with the state of browser tooling for web dev,7. Building for the web is becoming easier over time,8. I feel safe while browsing the web,9. I am satisfied with browser standards adoption,10. The web is improving for end-users,11. I am satisfied with the communication between the software side and the business side of my organization,12. I am satisfied with the communication between the design side and the engineering side of my organization,13. I am satisfied with the state of analytics tooling for the web,14. I am satisfied with the state of a/b test tooling for the web,15. I am satisfied with the current user interface design trends for the web,16. I am familiar with the laws associated with GDPR,17. The desktop web is typically slow and sluggish,18. Accessibility is an important concern in my web development,19. The mobile web is typically slow and sluggish,20. I dislike ads on the web,21. I am optimistic about the future of progressive web apps,22. Artificial intelligence advancements are having a big impact on the web,23. I am satisfied with the development libraries my team and I use,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,"26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?",27. How does your team/project do a/b testing in your projects?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,29. Does your team/project support IE 10 and under?,30. Should browsers still allow users to disable JavaScript?,31. Do the apps/sites you work on typically import custom fonts?,32. Does your team create design mockups before coding?,"33. Does your team use a package manager such as npm, yarn, bower, etc.?",34. Do your projects currently serve WebP-formatted images to supporting browsers?,35. Does your team write code tests for front-end code?,36. Does your team write code tests for back-end code?,37. Do you typically practice test-driven-development?,38. What is your age?,39. How long have you been working in software (in years),40. Which mobile device ecosystem you use for personal use?,41. What is your gender identity?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,43. Are you a...
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),I don't know,5,7,10,3,4,10,6,7,6,5,5,3,4,3,10,7,8,5,7,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,0,1,1,0,0,0,0,30 - 34,1,Android,Woman,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),I don't know,2,7,10,4,5,,5,5,7,7,7,1,2,10,7,7,10,10,6,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),(blank),,0,0,1,1,1,1,0,0,0,18 - 24,1,iOS,Man,(blank),An in-person bootcamp/coding school graduation,(blank),(blank),(blank),Dog person
Firefox,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,10,7,5,4,10,2,2,10,8,4,7,4,8,8,10,10,8,8,Front-end web development,Back-end web development,Web design,(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),I don't use any JavaScript frameworks,(blank),flexbox,grid,(blank),(blank),(blank),Open source library/framework,(blank),(blank),Linux,,0,1,1,1,1,0,1,1,1,18 - 24,3,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Firefox,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,2,9,9,0,8,5,7,2,5,5,4,4,3,5,10,7,3,6,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),I am a developer but not for web,(blank),I am a designer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),None of the above,(blank),Open source library/framework,MacOS,(blank),Linux,,0,1,0,0,1,0,0,1,0,18 - 24,6,Android,Woman,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,10,8,8,4,7,8,6,7,7,7,6,3,5,8,7,10,10,7,7,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),Open source library/framework,MacOS,Windows,Linux,,1,0,0,1,1,0,0,1,1,25 - 29,1,iOS,Man,(blank),An in-person bootcamp/coding school graduation,(blank),(blank),(blank),Dog person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),5mbps to 10mbps,8,8,10,7,8,9,4,8,9,5,10,10,0,10,6,10,10,9,2,(blank),Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,0,1,1,1,1,1,0,30 - 34,4,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),Browser Push Notifications,Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,(blank),(blank),(blank),Over 15mbps,7,7,9,9,8,10,10,10,10,8,8,8,0,10,0,7,10,10,10,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),(blank),grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,1,1,1,1,1,0,1,1,1,18 - 24,4,Android,Woman,(blank),(blank),An intensive online learning program,A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,3-8 years,(blank),5mbps to 10mbps,7,5,10,6,8,10,7,7,5,5,8,10,2,5,6,10,5,5,10,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,0,0,1,0,1,1,0,25 - 29,3,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,8,10,7,7,10,7,10,5,3,8,1,2,0,5,5,10,7,9,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Open source library/framework,(blank),Windows,Linux,,0,0,1,1,1,0,1,1,0,35 - 39,18,Android,Man,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,6,10,7,1,3,3,8,7,9,8,7,8,6,2,8,10,2,0,10,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),Open source library/framework,(blank),(blank),Linux,,0,1,1,1,1,0,1,1,1,≤ 17,0,Android,Man,(blank),(blank),(blank),(blank),None of the above,Cat person
